"Notes"	"Year"	"Year Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"2005"	"2005"	"Nevada"	"32"	480	2432143	20
	"2005"	"2005"	"New Hampshire"	"33"	162	1298492	12
	"2005"	"2005"	"New Jersey"	"34"	536	8651974	6
	"2005"	"2005"	"New Mexico"	"35"	342	1932274	18
	"2005"	"2005"	"New York"	"36"	1189	19132610	6
	"2005"	"2005"	"North Carolina"	"37"	1009	8705407	12
	"2005"	"2005"	"North Dakota"	"38"	92	646089	14
	"2005"	"2005"	"Ohio"	"39"	1341	11463320	12
	"2005"	"2005"	"Oklahoma"	"40"	522	3548597	15
	"2005"	"2005"	"Oregon"	"41"	560	3613202	15
	"2005"	"2005"	"Pennsylvania"	"42"	1430	12449990	11
	"2005"	"2005"	"Rhode Island"	"44"	71	1067916	7
	"2005"	"2005"	"South Carolina"	"45"	510	4270150	12
	"2005"	"2005"	"South Dakota"	"46"	121	775493	16
	"2005"	"2005"	"Tennessee"	"47"	856	5991057	14
	"2005"	"2005"	"Texas"	"48"	2418	22778123	11
	"2005"	"2005"	"Utah"	"49"	348	2457719	14
	"2005"	"2005"	"Vermont"	"50"	78	621215	13
	"2005"	"2005"	"Virginia"	"51"	866	7577105	11
	"2005"	"2005"	"Washington"	"53"	822	6257305	13
	"2005"	"2005"	"West Virginia"	"54"	255	1820492	14
	"2005"	"2005"	"Wisconsin"	"55"	643	5546166	12
	"2005"	"2005"	"Wyoming"	"56"	90	514157	18
	"2006"	"2006"	"Alabama"	"01"	580	4628981	13
	"2006"	"2006"	"Alaska"	"02"	135	675302	20
	"2006"	"2006"	"Arizona"	"04"	979	6029141	16
	"2006"	"2006"	"Arkansas"	"05"	376	2821761	13
	"2006"	"2006"	"California"	"06"	3334	36021202	9
	"2006"	"2006"	"Colorado"	"08"	730	4720423	15
	"2006"	"2006"	"Connecticut"	"09"	292	3517460	8
	"2006"	"2006"	"Delaware"	"10"	91	859268	11
	"2006"	"2006"	"District of Columbia"	"11"	30	570681	5
	"2006"	"2006"	"Florida"	"12"	2440	18166990	13
	"2006"	"2006"	"Georgia"	"13"	923	9155813	10
	"2006"	"2006"	"Hawaii"	"15"	120	1309731	9
	"2006"	"2006"	"Idaho"	"16"	222	1468669	15
	"2006"	"2006"	"Illinois"	"17"	1010	12643955	8
	"2006"	"2006"	"Indiana"	"18"	824	6332669	13
	"2006"	"2006"	"Iowa"	"19"	334	2982644	11
	"2006"	"2006"	"Kansas"	"20"	379	2762931	14
	"2006"	"2006"	"Kentucky"	"21"	622	4219239	15
	"2006"	"2006"	"Louisiana"	"22"	492	4302665	11
	"2006"	"2006"	"Maine"	"23"	158	1323619	12
	"2006"	"2006"	"Maryland"	"24"	495	5627367	9
	"2006"	"2006"	"Massachusetts"	"25"	450	6410084	7
	"2006"	"2006"	"Michigan"	"26"	1139	10036081	11
	"2006"	"2006"	"Minnesota"	"27"	554	5163555	11
	"2006"	"2006"	"Mississippi"	"28"	325	2904978	11
	"2006"	"2006"	"Missouri"	"29"	799	5842704	14
	"2006"	"2006"	"Montana"	"30"	189	952692	20
